id,name,slug,source
194802,Tokic B / Fajmut M,tokic-b-fajmut-m,sofascore
194731,Jakab J / Pergel S,jakab-j-pergel-s,sofascore
194707,Fegerl S / LI Q,fegerl-s-li-q,sofascore
194717,Gauzy S / Grundisch C,gauzy-s-grundisch-c,sofascore
194726,Jiang T / Lee H C,jiang-t-lee-h-c,sofascore
194785,Sawettabut S / Tanviriyavechakul P,sawettabut-s-tanviriyavechakul-p,sofascore
194782,Yang Z / YU M,yang-z-yu-m,sofascore
194790,Menge G / HU M,menge-g-hu-m,sofascore
194752,LEE S / Park Y,lee-s-park-y,sofascore
194696,Vlasov G / Noskova Y,vlasov-g-noskova-y,sofascore
195011,Filimon A / Ionescu O,filimon-a-ionescu-o,sofascore
126186,Apolonia T / Monteiro J,apolonia-t-monteiro-j,sofascore
195021,Jorgic D / Zibrat J,jorgic-d-zibrat-j,sofascore
104617,Chen C-A / Chuang C-Y,chen-c-a-chuang-c-y,sofascore
195067,DAS M / Kumaresan S,das-m-kumaresan-s,sofascore
195068,Komwong N / LI X,komwong-n-li-x,sofascore
183641,LIU S / Zhu Y,liu-s-zhu-y,sofascore
195069,Khetkhuan T / Paranang O,khetkhuan-t-paranang-o,sofascore
194697,Chen C-A / Chen S-Y,chen-c-a-chen-s-y,sofascore
194773,PAK S H / Kim H S,pak-s-h-kim-h-s,sofascore
194688,Pistej L / Balazova B,pistej-l-balazova-b,sofascore
194756,Tromer L / Eerland B,tromer-l-eerland-b,sofascore
194761,Mengel S / Solja P,mengel-s-solja-p,sofascore
194767,Niwa K / Hirano S,niwa-k-hirano-s,sofascore
194760,Wong C T / Doo H K,wong-c-t-doo-h-k,sofascore
194753,Liventsov A / Prokhorova Y,liventsov-a-prokhorova-y,sofascore
194804,Yoshimura M / Ishikawa K,yoshimura-m-ishikawa-k,sofascore
255075,Boll T / MA L,boll-t-ma-l,sofascore
195009,Dyjas J / Gorak D,dyjas-j-gorak-d,sofascore
126192,Gauzy S / Lebesson E,gauzy-s-lebesson-e,sofascore
103211,Liventsov A / Paykov M,liventsov-a-paykov-m,sofascore
195031,Chen D / Freitas M,chen-d-freitas-m,sofascore
195022,KIM H B / Pak S H,kim-h-b-pak-s-h,sofascore
195038,LEE S / Seo H,lee-s-seo-h,sofascore
195028,Matsumoto C / Monteiro T,matsumoto-c-monteiro-t,sofascore
195027,FAN Z / Zhou Y,fan-z-zhou-y,sofascore
195108,RI M G / RI M S,ri-m-g-ri-m-s,sofascore
195103,Mittelham N / Solja P,mittelham-n-solja-p,sofascore
195100,Bilenko T / Gaponova G,bilenko-t-gaponova-g,sofascore
195076,Cheng I-C / Lee I-C,cheng-i-c-lee-i-c,sofascore
126056,Grzybowska K / Partyka N,grzybowska-k-partyka-n,sofascore
195092,HU M / Shen Y,hu-m-shen-y,sofascore
183643,Silbereisen K / Winter S,silbereisen-k-winter-s,sofascore
195112,KIM H S / Kim J,kim-h-s-kim-j,sofascore
192232,LI J / LI Q,li-j-li-q,sofascore
103231,Ding N / Li X,ding-n-li-x,sofascore
182769,Shamruk G.,shamruk-gleb,sofascore
148068,Kojic F.,kojic-frane,sofascore
196309,Kulpa K.,kulpa-konrad,sofascore
147958,Sabitova V.,sabitova-valentina,sofascore
103195,Kim M.,kim-mingyung,sofascore
196359,Guseva E.,guseva-ekaterina,sofascore
196377,Walker S.,walker-samuel,sofascore
141628,Jin T.,jin-takuya,sofascore
